rank,pred,label,id,Conference,Year,Title,Link,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award
21,0.6768527,0,397,InfoVis,2011,D³ Data-Driven Documents,http://dx.doi.org/10.1109/TVCG.2011.185,"Data-Driven Documents (D3) is a novel representation-transparent approach to visualization for the web. Rather than hide the underlying scenegraph within a toolkit-specific abstraction, D3 enables direct inspection and manipulation of a native representation: the standard document object model (DOM). With D3, designers selectively bind input data to arbitrary document elements, applying dynamic transforms to both generate and modify content. We show how representational transparency improves expressiveness and better integrates with developer tools than prior approaches, while offering comparable notational efficiency and retaining powerful declarative components. Immediate evaluation of operators further simplifies debugging and allows iterative development. Additionally, we demonstrate how D3 transforms naturally enable animation and interaction with dramatic performance improvements over intermediate representations.",Michael Bostock;Vadim Ogievetsky;Jeffrey Heer,Michael Bostock;Vadim Ogievetsky;Jeffrey Heer,,10.1109/INFVIS.2000.885091;10.1109/INFVIS.2000.885098;10.1109/TVCG.2010.144;10.1109/TVCG.2009.174;10.1109/INFVIS.2004.12;10.1109/TVCG.2006.178;10.1109/INFVIS.2005.1532122;10.1109/TVCG.2008.166;10.1109/INFVIS.2004.64;10.1109/TVCG.2007.70539,"Information visualization, user interfaces, toolkits, 2D graphics",1167.0,1537.0,992.0,41.0,
22,0.67419297,0,557,SciVis,2013,Adaptive Refinement of the Flow Map Using Sparse Samples,http://dx.doi.org/10.1109/TVCG.2013.128,"We present a new efficient and scalable method for the high quality reconstruction of the flow map from sparse samples. The flow map describes the transport of massless particles along the flow. As such, it is a fundamental concept in the analysis of transient flow phenomena and all so-called Lagrangian flow visualization techniques require its approximation. The flow map is generally obtained by integrating a dense 1D, 2D, or 3D set of particles across the domain of definition of the flow. Despite its embarrassingly parallel nature, this computation creates a performance bottleneck in the analysis of large-scale datasets that existing adaptive techniques alleviate only partially. Our iterative approximation method significantly improves upon the state of the art by precisely modeling the flow behavior around automatically detected geometric structures embedded in the flow, thus effectively restricting the sampling effort to interesting regions. Our data reconstruction is based on a modified version of Sibson's scattered data interpolation and allows us at each step to offer an intermediate dense approximation of the flow map and to seamlessly integrate regions that will be further refined in subsequent steps. We present a quantitative and qualitative evaluation of our method on different types of flow datasets and offer a detailed comparison with existing techniques.",Samer S. Barakat;Xavier Tricoche,Samer S. Barakat;Xavier Tricoche,Purdue University;Purdue University,10.1109/TVCG.2009.190;10.1109/TVCG.2008.133;10.1109/TVCG.2007.70554;10.1109/TVCG.2007.70551,"Lagrangian flow visualization, flow map, edge features, scattered data interpolation, sparse sampling, adaptive refinement, parallel reconstruction",9.0,13.0,14.0,40.0,HM
23,0.6700181,0,106,InfoVis,2005,Voronoi treemaps,http://dx.doi.org/10.1109/INFVIS.2005.1532128,"Treemaps are a well known method for the visualization of attributed hierarchical data. Previously proposed treemap layout algorithms are limited to rectangular shapes, which cause problems with the aspect ratio of the rectangles as well as with identifying the visualized hierarchical structure. The approach of Voronoi treemaps presented in this paper eliminates these problems through enabling subdivisions of and in polygons. Additionally, this allows for creating treemap visualizations within areas of arbitrary shape, such as triangles and circles, thereby enabling a more flexible adaptation of treemaps for a wider range of applications.",Michael Balzer;Oliver Deussen,M. Balzer;O. Deussen,"Dept. of Comput. & Inf. Sci., Konstanz Univ., Germany;Dept. of Comput. & Inf. Sci., Konstanz Univ., Germany",10.1109/INFVIS.2004.19;10.1109/INFVIS.2001.963283;10.1109/VISUAL.1991.175815;10.1109/VISUAL.2004.13;10.1109/VISUAL.1992.235217;10.1109/INFVIS.1999.801860,"Voronoi Treemaps, Information Visualization, Hierarchies, Trees, Treemaps, Voronoi Tessellations",104.0,118.0,37.0,27.0,
24,0.6684156,0,355,InfoVis,2010,Uncovering Strengths and Weaknesses of Radial Visualizations---an Empirical Approach,http://dx.doi.org/10.1109/TVCG.2010.209,"Radial visualizations play an important role in the information visualization community. But the decision to choose a radial coordinate system is rather based on intuition than on scientific foundations. The empirical approach presented in this paper aims at uncovering strengths and weaknesses of radial visualizations by comparing them to equivalent ones in Cartesian coordinate systems. We identified memorizing positions of visual elements as a generic task when working with visualizations. A first study with 674 participants provides a broad data spectrum for exploring differences between the two visualization types. A second, complementing study with fewer participants focuses on further questions raised by the first study. Our findings document that Cartesian visualizations tend to outperform their radial counterparts especially with respect to answer times. Nonetheless, radial visualization seem to be more appropriate for focusing on a particular data dimension.",Stephan Diehl 0001;Fabian Beck 0001;Michael Burch,Stephan Diehl;Fabian Beck;Michael Burch,University of Trier;University of Trier;University of Stuttgart,10.1109/INFVIS.2004.70;10.1109/INFVIS.2001.963291;10.1109/VISUAL.1997.663916;10.1109/INFVIS.2001.963291,"Radial visualization, user study, visual memory",38.0,0.0,30.0,19.0,
25,0.66369504,0,96,InfoVis,2004,Uncovering Clusters in Crowded Parallel Coordinates Visualizations,http://dx.doi.org/10.1109/INFVIS.2004.68,"The one-to-one strategy of mapping each single data item into a graphical marker adopted in many visualization techniques has limited usefulness when the number of records and/or the dimensionality of the data set are very high. In this situation, the strong overlapping of graphical markers severely hampers the user's ability to identify patterns in the data from its visual representation. We tackle this problem here with a strategy that computes frequency or density information from the data set, and uses such information in parallel coordinates visualizations to filter out the information to be presented to the user, thus reducing visual clutter and allowing the analyst to observe relevant patterns in the data. The algorithms to construct such visualizations, and the interaction mechanisms supported, inspired by traditional image processing techniques such as grayscale manipulation and thresholding are also presented. We also illustrate how such algorithms can assist users to effectively identify clusters in very noisy large data sets",Almir Olivette Artero;Maria Cristina Ferreira de Oliveira;Haim Levkowitz,A.O. Artero;M.C.F. de Oliveira;H. Levkowitz,University of S&#227;o Paulo,10.1109/VISUAL.1994.346302,"information visualization, visual clustering, density-based visualization, visual data mining",120.0,130.0,67.0,17.0,
26,0.6620053,0,706,SciVis,2014,Escape Maps,http://dx.doi.org/10.1109/TVCG.2014.2346442,"We present a technique to visualize the streamline-based mapping between the boundary of a simply-connected subregion of arbitrary 3D vector fields. While the streamlines are seeded on one part of the boundary, the remaining part serves as escape border. Hence, the seeding part of the boundary represents a map of streamline behavior, indicating if streamlines reach the escape border or not. Since the resulting maps typically exhibit a very fine and complex structure and are thus not amenable to direct sampling, our approach instead aims at topologically consistent extraction of their boundary. We show that isocline surfaces of the projected vector field provide a robust basis for stream-surface-based extraction of these boundaries. The utility of our technique is demonstrated in the context of transport processes using vector field data from different domains.",Gustavo Mello Machado;Filip Sadlo;Thomas Müller 0005;Thomas Ertl,Gustavo Machado;Filip Sadlo;Thomas Müller;Thomas Ertl,"University of Stuttgart, Germany;University of Stuttgart, Germany;University of Stuttgart, Germany;University of Stuttgart, Germany",10.1109/VISUAL.1991.175773;10.1109/VISUAL.1992.235211;10.1109/VISUAL.2003.1250376,"Streamline behavior, vector field topology, isocline surfaces, coronal hole extraction",,,1.0,30.0,
27,0.6599837,0,581,InfoVis,2013,Empirical Guidance on Scatterplot and Dimension Reduction Technique Choices,http://dx.doi.org/10.1109/TVCG.2013.153,"To verify cluster separation in high-dimensional data, analysts often reduce the data with a dimension reduction (DR) technique, and then visualize it with 2D Scatterplots, interactive 3D Scatterplots, or Scatterplot Matrices (SPLOMs). With the goal of providing guidance between these visual encoding choices, we conducted an empirical data study in which two human coders manually inspected a broad set of 816 scatterplots derived from 75 datasets, 4 DR techniques, and the 3 previously mentioned scatterplot techniques. Each coder scored all color-coded classes in each scatterplot in terms of their separability from other classes. We analyze the resulting quantitative data with a heatmap approach, and qualitatively discuss interesting scatterplot examples. Our findings reveal that 2D scatterplots are often 'good enough', that is, neither SPLOM nor interactive 3D adds notably more cluster separability with the chosen DR technique. If 2D is not good enough, the most promising approach is to use an alternative DR technique in 2D. Beyond that, SPLOM occasionally adds additional value, and interactive 3D rarely helps but often hurts in terms of poorer class separation and usability. We summarize these results as a workflow model and implications for design. Our results offer guidance to analysts during the DR exploration process.",Michael Sedlmair;Tamara Munzner;Melanie Tory,Michael Sedlmair;Tamara Munzner;Melanie Tory,University of Vienna;University of British Columbia;University of Victoria,10.1109/TVCG.2009.127;10.1109/TVCG.2011.229;10.1109/TVCG.2007.70596;10.1109/INFVIS.2005.1532142;10.1109/INFVIS.1997.636793;10.1109/VAST.2010.5652392;10.1109/VAST.2012.6400490;10.1109/TVCG.2008.109;10.1109/VAST.2009.5332628,"Dimensionality reduction, scatterplots, quantitative study",53.0,76.0,60.0,0.0,
28,0.6558811,0,610,InfoVis,2013,Selecting the Aspect Ratio of a Scatter Plot Based on Its Delaunay Triangulation,http://dx.doi.org/10.1109/TVCG.2013.187,"Scatter plots are diagrams that visualize two-dimensional data as sets of points in the plane. They allow users to detect correlations and clusters in the data. Whether or not a user can accomplish these tasks highly depends on the aspect ratio selected for the plot, i.e., the ratio between the horizontal and the vertical extent of the diagram. We argue that an aspect ratio is good if the Delaunay triangulation of the scatter plot at this aspect ratio has some nice geometric property, e.g., a large minimum angle or a small total edge length. More precisely, we consider the following optimization problem. Given a set Q of points in the plane, find a scale factor s such that scaling the x-coordinates of the points in Q by s and the y-coordinates by 1=s yields a point set P(s) that optimizes a property of the Delaunay triangulation of P(s), over all choices of s. We present an algorithm that solves this problem efficiently and demonstrate its usefulness on real-world instances. Moreover, we discuss an empirical test in which we asked 64 participants to choose the aspect ratios of 18 scatter plots. We tested six different quality measures that our algorithm can optimize. In conclusion, minimizing the total edge length and minimizing what we call the 'uncompactness' of the triangles of the Delaunay triangulation yielded the aspect ratios that were most similar to those chosen by the participants in the test.",Martin Fink 0001;Jan-Henrik Haunert;Joachim Spoerhase;Alexander Wolff 0001,Martin Fink;Jan-Henrik Haunert;Joachim Spoerhase;Alexander Wolff,"Lehrstuhl I, Institut f&#x00FC;r Informatik, Universit&#x00C2;&#x00A8;at W&#x00FC;rzburg;Lehrstuhl I, Institut f&#x00FC;r Informatik, Universit&#x00C2;&#x00A8;at W&#x00FC;rzburg;Lehrstuhl I, Institut f&#x00FC;r Informatik, Universit&#x00C2;&#x00A8;at W&#x00FC;rzburg;Lehrstuhl I, Institut f&#x00FC;r Informatik, Universit&#x00C2;&#x00A8;at W&#x00FC;rzburg",10.1109/TVCG.2006.163;10.1109/TVCG.2012.196;10.1109/TVCG.2011.167,"Scatter plot, aspect ratio, Delaunay triangulation",17.0,0.0,18.0,28.0,
29,0.6552259,0,1116,SciVis,2018,Labels on Levels: Labeling of Multi-Scale Multi-Instance and Crowded 3D Biological Environments,http://dx.doi.org/10.1109/TVCG.2018.2864491,"Labeling is intrinsically important for exploring and understanding complex environments and models in a variety of domains. We present a method for interactive labeling of crowded 3D scenes containing very many instances of objects spanning multiple scales in size. In contrast to previous labeling methods, we target cases where many instances of dozens of types are present and where the hierarchical structure of the objects in the scene presents an opportunity to choose the most suitable level for each placed label. Our solution builds on and goes beyond labeling techniques in medical 3D visualization, cartography, and biological illustrations from books and prints. In contrast to these techniques, the main characteristics of our new technique are: 1) a novel way of labeling objects as part of a bigger structure when appropriate, 2) visual clutter reduction by labeling only representative instances for each type of an object, and a strategy of selecting those. The appropriate level of label is chosen by analyzing the scene's depth buffer and the scene objects' hierarchy tree. We address the topic of communicating the parent-children relationship between labels by employing visual hierarchy concepts adapted from graphic design. Selecting representative instances considers several criteria tailored to the character of the data and is combined with a greedy optimization approach. We demonstrate the usage of our method with models from mesoscale biology where these two characteristics-multi-scale and multi-instance-are abundant, along with the fact that these scenes are extraordinarily dense.",David Kouril;Ladislav Cmolík;Barbora Kozlíková;Hsiang-Yun Wu;Graham Johnson;David S. Goodsell;Arthur J. Olson;M. Eduard Gröller;Ivan Viola,David Kouřil;Ladislav Čmolík;Barbora Kozlíková;Hslanc-Yun Wu;Graham Johnson;David S. Goodsell;Arthur Olson;M. Eduard Gröller;Ivan Viola,"TU Wien;Faculty of Electrical Engineering, Czech Technical University, Prague;Masaryk University;TU Wien;Allen Institute for Cell Science;The Scripps Research Institute;The Scripps Research Institute;TU Wien;TU Wien",10.1109/TVCG.2006.136;10.1109/TVCG.2008.168;10.1109/TVCG.2017.2744518,"labeling,multi-scale data,multi-instance data",,5.0,0.0,54.0,HM
30,0.6545376,0,348,InfoVis,2010,Perceptual Guidelines for Creating Rectangular Treemaps,http://dx.doi.org/10.1109/TVCG.2010.186,"Treemaps are space-filling visualizations that make efficient use of limited display space to depict large amounts of hierarchical data. Creating perceptually effective treemaps requires carefully managing a number of design parameters including the aspect ratio and luminance of rectangles. Moreover, treemaps encode values using area, which has been found to be less accurate than judgments of other visual encodings, such as length. We conduct a series of controlled experiments aimed at producing a set of design guidelines for creating effective rectangular treemaps. We find no evidence that luminance affects area judgments, but observe that aspect ratio does have an effect. Specifically, we find that the accuracy of area comparisons suffers when the compared rectangles have extreme aspect ratios or when both are squares. Contrary to common assumptions, the optimal distribution of rectangle aspect ratios within a treemap should include non-squares, but should avoid extremes. We then compare treemaps with hierarchical bar chart displays to identify the data densities at which length-encoded bar charts become less effective than area-encoded treemaps. We report the transition points at which treemaps exhibit judgment accuracy on par with bar charts for both leaf and non-leaf tree nodes. We also find that even at relatively low data densities treemaps result in faster comparisons than bar charts. Based on these results, we present a set of guidelines for the effective use of treemaps and suggest alternate approaches for treemap layout.",Nicholas Kong;Jeffrey Heer;Maneesh Agrawala,Nicholas Kong;Jeffrey Heer;Maneesh Agrawala,"University of California, Berkeley;Stanford University;University of California, Berkeley",10.1109/INFVIS.2000.885091;10.1109/INFVIS.2005.1532145;10.1109/INFVIS.2004.70;10.1109/INFVIS.2005.1532144;10.1109/TVCG.2007.70583;10.1109/INFVIS.2001.963283;10.1109/INFVIS.2001.963290;10.1109/TVCG.2008.171;10.1109/INFVIS.1999.801860;10.1109/INFVIS.2002.1173153,"Graphical Perception, Visualization, Treemaps, Rectangular Area, Visual Encoding, Experiment, Mechanical Turk",55.0,0.0,40.0,45.0,HM
31,0.65155584,0,1047,InfoVis,2017,Modeling Color Difference for Visualization Design,http://dx.doi.org/10.1109/TVCG.2017.2744359,"Color is frequently used to encode values in visualizations. For color encodings to be effective, the mapping between colors and values must preserve important differences in the data. However, most guidelines for effective color choice in visualization are based on either color perceptions measured using large, uniform fields in optimal viewing environments or on qualitative intuitions. These limitations may cause data misinterpretation in visualizations, which frequently use small, elongated marks. Our goal is to develop quantitative metrics to help people use color more effectively in visualizations. We present a series of crowdsourced studies measuring color difference perceptions for three common mark types: points, bars, and lines. Our results indicate that peoples' abilities to perceive color differences varies significantly across mark types. Probabilistic models constructed from the resulting data can provide objective guidance for designers, allowing them to anticipate viewer perceptions in order to inform effective encoding design.",Danielle Albers Szafir,Danielle Albers Szafir,University of Colorado,10.1109/VISUAL.1995.480803;10.1109/TVCG.2011.185;10.1109/TVCG.2010.154;10.1109/TVCG.2014.2346978;10.1109/TVCG.2016.2598918;10.1109/VISUAL.1996.568118;10.1109/TVCG.2011.194;10.1109/TVCG.2012.279;10.1109/TVCG.2016.2599106;10.1109/TVCG.2016.2599030;10.1109/TVCG.2008.118,"Color Perception,Graphical Perception,Color Models,Crowdsourcing",,32.0,18.0,55.0,BP
32,0.6411025,0,346,InfoVis,2010,Pargnostics: Screen-Space Metrics for Parallel Coordinates,http://dx.doi.org/10.1109/TVCG.2010.184,"Interactive visualization requires the translation of data into a screen space of limited resolution. While currently ignored by most visualization models, this translation entails a loss of information and the introduction of a number of artifacts that can be useful, (e.g., aggregation, structures) or distracting (e.g., over-plotting, clutter) for the analysis. This phenomenon is observed in parallel coordinates, where overlapping lines between adjacent axes form distinct patterns, representing the relation between variables they connect. However, even for a small number of dimensions, the challenge is to effectively convey the relationships for all combinations of dimensions. The size of the dataset and a large number of dimensions only add to the complexity of this problem. To address these issues, we propose Pargnostics, parallel coordinates diagnostics, a model based on screen-space metrics that quantify the different visual structures. Pargnostics metrics are calculated for pairs of axes and take into account the resolution of the display as well as potential axis inversions. Metrics include the number of line crossings, crossing angles, convergence, overplotting, etc. To construct a visualization view, the user can pick from a ranked display showing pairs of coordinate axes and the structures between them, or examine all possible combinations of axes at once in a matrix display. Picking the best axes layout is an NP-complete problem in general, but we provide a way of automatically optimizing the display according to the user's preferences based on our metrics and model.",Aritra Dasgupta;Robert Kosara,Aritra Dasgupta;Robert Kosara,University of North Carolina at Charlotte;University of North Carolina at Charlotte,10.1109/INFVIS.2005.1532142;10.1109/TVCG.2006.138;10.1109/VISUAL.1990.146402;10.1109/VAST.2006.261423;10.1109/VAST.2009.5332628;10.1109/INFVIS.2005.1532136;10.1109/INFVIS.1998.729559;10.1109/INFVIS.1997.636793,"Parallel coordinates, metrics, display optimization, visualization models",66.0,87.0,72.0,32.0,
33,0.6382506,0,754,InfoVis,2014,Learning Perceptual Kernels for Visualization Design,http://dx.doi.org/10.1109/TVCG.2014.2346978,"Visualization design can benefit from careful consideration of perception, as different assignments of visual encoding variables such as color, shape and size affect how viewers interpret data. In this work, we introduce perceptual kernels: distance matrices derived from aggregate perceptual judgments. Perceptual kernels represent perceptual differences between and within visual variables in a reusable form that is directly applicable to visualization evaluation and automated design. We report results from crowd-sourced experiments to estimate kernels for color, shape, size and combinations thereof. We analyze kernels estimated using five different judgment types-including Likert ratings among pairs, ordinal triplet comparisons, and manual spatial arrangement-and compare them to existing perceptual models. We derive recommendations for collecting perceptual similarities, and then demonstrate how the resulting kernels can be applied to automate visualization design decisions.",Çagatay Demiralp;Michael S. Bernstein;Jeffrey Heer,Çağatay Demiralp;Michael S. Bernstein;Jeffrey Heer,Stanford University;Stanford University;University of Washington,10.1109/TVCG.2010.186;10.1109/TVCG.2006.163;10.1109/TVCG.2007.70594;10.1109/TVCG.2011.167;10.1109/TVCG.2007.70583;10.1109/TVCG.2008.125;10.1109/TVCG.2010.130;10.1109/TVCG.2007.70539,"Visualization, design, encoding, perception, model, crowdsourcing, automated visualization, visual embedding",39.0,60.0,35.0,47.0,
34,0.6354208,0,90,InfoVis,2004,RecMap: Rectangular Map Approximations,http://dx.doi.org/10.1109/INFVIS.2004.57,"In many application domains, data is collected and referenced by its geospatial location. Nowadays, different kinds of maps are used to emphasize the spatial distribution of one or more geospatial attributes. The nature of geospatial statistical data is the highly nonuniform distribution in the real world data sets. This has several impacts on the resulting map visualizations. Classical area maps tend to highlight patterns in large areas, which may, however, be of low importance. Cartographers and geographers used cartograms or value-by-area maps to address this problem long before computers were available. Although many automatic techniques have been developed, most of the value-by-area cartograms are generated manually via human interaction. In this paper, we propose a novel visualization technique for geospatial data sets called RecMap. Our technique approximates a rectangular partition of the (rectangular) display area into a number of map regions preserving important geospatial constraints. It is a fully automatic technique with explicit user control over all exploration constraints within the exploration process. Experiments show that our technique produces visualizations of geospatial data sets, which enhance the discovery of global and local correlations, and demonstrate its performance in a variety of applications",Roland Heilmann;Daniel A. Keim;Christian Panse;Mike Sips,R. Heilmann;D.A. Keim;C. Panse;M. Sips,Bayer Technology,10.1109/VISUAL.1998.745303;10.1109/VISUAL.1991.175815;10.1109/INFVIS.2002.1173144,"Geographic Visualization, Information Visualization, Database and Data Mining Visualization",57.0,66.0,27.0,13.0,
35,0.63477546,0,42,InfoVis,2002,Angular brushing of extended parallel coordinates,http://dx.doi.org/10.1109/INFVIS.2002.1173157,"In this paper we present angular brushing for parallel coordinates (PC) as a new approach to highlighting rational data-properties, i.e., features which - in a non-separable way - depend on two data dimensions. We also demonstrate smooth brushing as an intuitive tool for specifying nonbinary degree-of-interest functions (for focus+context visualization). We also briefly describe our implementation as well as its application to the visualization of CFD data.",Helwig Hauser;Florian Ledermann;Helmut Doleisch,H. Hauser;F. Ledermann;H. Doleisch,"VRVis Res. Center, Vienna, Austria;VRVis Res. Center, Vienna, Austria;VRVis Res. Center, Vienna, Austria",10.1109/INFVIS.1996.559216;10.1109/VISUAL.2000.885739;10.1109/VISUAL.1994.346302;10.1109/VISUAL.1995.485139;10.1109/VISUAL.1990.146402,"information visualization, parallel coordinates, brushing, linear correlations, focus+context visualization",161.0,173.0,93.0,11.0,
36,0.63435215,0,1125,SciVis,2018,Gaia Sky: Navigating the Gaia Catalog,http://dx.doi.org/10.1109/TVCG.2018.2864508,"In this paper, we present Gaia Sky, a free and open-source multiplatform 3D Universe system, developed since 2014 in the Data Processing and Analysis Consortium framework of ESA's Gaia mission. Gaia's data release 2 represents the largest catalog of the stars of our Galaxy, comprising 1.3 billion star positions, with parallaxes, proper motions, magnitudes, and colors. In this mission, Gaia Sky is the central tool for off-the-shelf visualization of these data, and for aiding production of outreach material. With its capabilities to effectively handle these data, to enable seamless navigation along the high dynamic range of distances, and at the same time to provide advanced visualization techniques including relativistic aberration and gravitational wave effects, currently no actively maintained cross-platform, modern, and open alternative exists.",Antoni Sagristà;Stefan Jordan;Thomas Müller 0005;Filip Sadlo,Antoni Sagristà;Stefan Jordan;Thomas Müller;Filip Sadlo,Heidelberg University;Heidelberg University;Max Planck Institute for Astronomy;Heidelberg University,10.1109/TVCG.2006.176,"Astronomy visualization,3D Universe software,star catalog rendering,Gaia mission",0.0,2.0,3.0,31.0,
37,0.6339158,0,115,InfoVis,2005,Revealing structure within clustered parallel coordinates displays,http://dx.doi.org/10.1109/INFVIS.2005.1532138,"In order to gain insight into multivariate data, complex structures must be analysed and understood. Parallel coordinates is an excellent tool for visualizing this type of data but has its limitations. This paper deals with one of its main limitations - how to visualize a large number of data items without hiding the inherent structure they constitute. We solve this problem by constructing clusters and using high precision textures to represent them. We also use transfer functions that operate on the high precision textures in order to highlight different aspects of the cluster characteristics. Providing predefined transfer functions as well as the support to draw customized transfer functions makes it possible to extract different aspects of the data. We also show how feature animation can be used as guidance when simultaneously analysing several clusters. This technique makes it possible to visually represent statistical information about clusters and thus guides the user, making the analysis process more efficient.",Jimmy Johansson;Patric Ljung;Mikael Jern;Matthew D. Cooper,J. Johansson;P. Ljung;M. Jern;M. Cooper,"Norrkoping Visualization & Interaction Studio, Linkoping Univ., Sweden;Norrkoping Visualization & Interaction Studio, Linkoping Univ., Sweden;Norrkoping Visualization & Interaction Studio, Linkoping Univ., Sweden;Norrkoping Visualization & Interaction Studio, Linkoping Univ., Sweden",10.1109/VISUAL.1990.146402;10.1109/VISUAL.1999.809866;10.1109/INFVIS.2004.68,"Parallel coordinates, clustering, transfer function, feature animation",107.0,118.0,38.0,17.0,
38,0.63209105,0,1174,InfoVis,2018,Optimizing Color Assignment for Perception of Class Separability in Multiclass Scatterplots,http://dx.doi.org/10.1109/TVCG.2018.2864912,"Appropriate choice of colors significantly aids viewers in understanding the structures in multiclass scatterplots and becomes more important with a growing number of data points and groups. An appropriate color mapping is also an important parameter for the creation of an aesthetically pleasing scatterplot. Currently, users of visualization software routinely rely on color mappings that have been pre-defined by the software. A default color mapping, however, cannot ensure an optimal perceptual separability between groups, and sometimes may even lead to a misinterpretation of the data. In this paper, we present an effective approach for color assignment based on a set of given colors that is designed to optimize the perception of scatterplots. Our approach takes into account the spatial relationships, density, degree of overlap between point clusters, and also the background color. For this purpose, we use a genetic algorithm that is able to efficiently find good color assignments. We implemented an interactive color assignment system with three extensions of the basic method that incorporates top K suggestions, user-defined color subsets, and classes of interest for the optimization. To demonstrate the effectiveness of our assignment technique, we conducted a numerical study and a controlled user study to compare our approach with default color assignments; our findings were verified by two expert studies. The results show that our approach is able to support users in distinguishing cluster numbers faster and more precisely than default assignment methods.",Yunhai Wang;Xin Chen;Tong Ge;Chen Bao;Michael Sedlmair;Chi-Wing Fu;Oliver Deussen;Baoquan Chen,Yunhai Wang;Xin Chen;Tong Ge;Chen Bao;Michael Sedlmair;Chi-Wing Fu;Oliver Deussen;Baoquan Chen,"Shandong University;Shandong University;Shandong University;Shandong University;VISUS, University of Stuttgart, Germany;Chinese University, Hong Kong;Konstanz University, Germany;Peking University",10.1109/VISUAL.1995.480803;10.1109/TVCG.2016.2599214;10.1109/TVCG.2013.183;10.1109/TVCG.2016.2598918;10.1109/VISUAL.1996.568118;10.1109/TVCG.2017.2744184;10.1109/TVCG.2013.153;10.1109/TVCG.2015.2467471;10.1109/TVCG.2017.2744359;10.1109/VAST.2009.5332628;10.1109/TVCG.2008.118,"Color perception,visual design,scatterplots",0.0,1.0,5.0,50.0,
39,0.63136286,0,55,InfoVis,2003,"Interactive hierarchical dimension ordering, spacing and filtering for exploration of high dimensional datasets",http://dx.doi.org/10.1109/INFVIS.2003.1249015,"Large number of dimensions not only cause clutter in multi-dimensional visualizations, but also make it difficult for users to navigate the data space. Effective dimension management, such as dimension ordering, spacing and filtering, is critical for visual exploration of such datasets. Dimension ordering and spacing explicitly reveal dimension relationships in arrangement-sensitive multidimensional visualization techniques, such as parallel coordinates, star glyphs, and pixel-oriented techniques. They facilitate the visual discovery of patterns within the data. Dimension filtering hides some of the dimensions to reduce clutter while preserving the major information of the dataset. In this paper, we propose an interactive hierarchical dimension ordering, spacing and filtering approach, called DOSFA. DOSFA is based on dimension hierarchies derived from similarities among dimensions. It is scalable multi-resolution approach making dimensional management a tractable task. On the one hand, it automatically generates default settings for dimension ordering, spacing and filtering. On the other hand, it allows users to efficiently control all aspects of this dimension management process via visual interaction tools for dimension hierarchy manipulation. A case study visualizing a dataset containing over 200 dimensions reveals high dimensional visualization techniques.",Jing Yang 0001;Wei Peng;Matthew O. Ward;Elke A. Rundensteiner,Jing Yang;Wei Peng;M.O. Ward;E.A. Rundensteiner,"Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA;Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA;Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA;Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA",10.1109/VISUAL.1990.146386;10.1109/VISUAL.1990.146402;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1994.346302;10.1109/INFVIS.2000.885086;10.1109/VISUAL.1995.485140;10.1109/INFVIS.2002.1173151,"Dimension ordering, dimension spacing, dimension filtering, multidimensional visualization, high dimensional datasets",111.0,128.0,18.0,24.0,
40,0.63079053,0,388,InfoVis,2011,Arc Length-Based Aspect Ratio Selection,http://dx.doi.org/10.1109/TVCG.2011.167,"The aspect ratio of a plot has a dramatic impact on our ability to perceive trends and patterns in the data. Previous approaches for automatically selecting the aspect ratio have been based on adjusting the orientations or angles of the line segments in the plot. In contrast, we recommend a simple, effective method for selecting the aspect ratio: minimize the arc length of the data curve while keeping the area of the plot constant. The approach is parameterization invariant, robust to a wide range of inputs, preserves visual symmetries in the data, and is a compromise between previously proposed techniques. Further, we demonstrate that it can be effectively used to select the aspect ratio of contour plots. We believe arc length should become the default aspect ratio selection method.",Justin Talbot;John Gerth;Pat Hanrahan,Justin Talbot;John Gerth;Pat Hanrahan,Stanford University;Stanford University;Stanford University,10.1109/TVCG.2006.163,"Aspect ratio selection, Banking to 45 degrees, Orientation resolution",14.0,23.0,13.0,17.0,
